id,uri,data,dataHoraRegistro,siglaOrgao,uriOrgao,uriEvento,proposicaoObjeto,uriProposicaoObjeto,descricao,aprovacao
2334096-29,https://dadosabertos.camara.leg.br/api/v2/votacoes/2334096-29,2022-09-01,2022-09-01T17:20:56,CESUBCRE,https://dadosabertos.camara.leg.br/api/v2/orgaos/538421,https://dadosabertos.camara.leg.br/api/v2/eventos/66405,REL 2/2022 CESUBCRE,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2334096,"Aprovada a matéria destacada. Fica mantido o texto do Relator Resultado: 
Sim: 3; Não: 0; Abstenção: 0; e Quórum de Votação: 3. Obstrução: 0; e Total de Votantes: 3.",1.0
2334095-31,https://dadosabertos.camara.leg.br/api/v2/votacoes/2334095-31,2022-09-01,2022-09-01T17:20:12,CESUBCRE,https://dadosabertos.camara.leg.br/api/v2/orgaos/538421,https://dadosabertos.camara.leg.br/api/v2/eventos/66404,REL 1/2022 CESUBCRE,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2334095,Aprovada a matéria destacada. Fica mantido o texto do Relator. Sim: 3; Não: 0; Abstenção: 0; e Quórum de Votação: 3. Obstrução: 0; e Total de Votantes: 3,1.0
2334096-26,https://dadosabertos.camara.leg.br/api/v2/votacoes/2334096-26,2022-09-01,2022-09-01T17:04:36,CESUBCRE,https://dadosabertos.camara.leg.br/api/v2/orgaos/538421,https://dadosabertos.camara.leg.br/api/v2/eventos/66405,REL 2/2022 CESUBCRE,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2334096,"Aprovado o Parecer do Relator, Dep. Danilo Forte, com complementação de voto, ressalvados os destaques.
Resultado: Sim: 4; Não: 1; Abstenção: 0; e Quórum de Votação: 5. Obstrução: 0; e Total de Votantes: 5.",1.0
2334095-28,https://dadosabertos.camara.leg.br/api/v2/votacoes/2334095-28,2022-09-01,2022-09-01T17:04:25,CESUBCRE,https://dadosabertos.camara.leg.br/api/v2/orgaos/538421,https://dadosabertos.camara.leg.br/api/v2/eventos/66404,REL 1/2022 CESUBCRE,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2334095,"Aprovado o Parecer, com complementação de voto, ressalvados os destaques. Sim: 4; Não: 1; Abstenção: 0; e Quórum de Votação: 5. Obstrução: 0; e Total de Votantes: 5",1.0
2334096-19,https://dadosabertos.camara.leg.br/api/v2/votacoes/2334096-19,2022-09-01,2022-09-01T16:02:41,CESUBCRE,https://dadosabertos.camara.leg.br/api/v2/orgaos/538421,https://dadosabertos.camara.leg.br/api/v2/eventos/66405,REL 2/2022 CESUBCRE,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2334096,Aprovado o Requerimento. Sim: 3; Não: 1; Abstenção: 0; e Quórum de Votação: 7. Obstrução: 0; e Total de Votantes: 4.,1.0
2334095-19,https://dadosabertos.camara.leg.br/api/v2/votacoes/2334095-19,2022-09-01,2022-09-01T15:58:34,CESUBCRE,https://dadosabertos.camara.leg.br/api/v2/orgaos/538421,https://dadosabertos.camara.leg.br/api/v2/eventos/66404,REL 1/2022 CESUBCRE,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2334095,Aprovado o Requerimento de Encerramento de Discussão. Sim: 2; Não: 1; Abstenção: 1; Quórum de votação: 4 votos; Obstrução: 1; e Total de Votantes: 5,1.0
2334095-11,https://dadosabertos.camara.leg.br/api/v2/votacoes/2334095-11,2022-09-01,2022-09-01T15:05:10,CESUBCRE,https://dadosabertos.camara.leg.br/api/v2/orgaos/538421,https://dadosabertos.camara.leg.br/api/v2/eventos/66404,REL 1/2022 CESUBCRE,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2334095,Rejeitado o Requerimento de Retirada de Pauta. Sim: 1; Não: 0; Abtenção:0; Quórum de votação: 1; Obstrução: 0; e Total de Votantes:1,0.0
2334096-11,https://dadosabertos.camara.leg.br/api/v2/votacoes/2334096-11,2022-09-01,2022-09-01T15:00:40,CESUBCRE,https://dadosabertos.camara.leg.br/api/v2/orgaos/538421,https://dadosabertos.camara.leg.br/api/v2/eventos/66405,REL 2/2022 CESUBCRE,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2334096,Rejeitado o Requerimento. Sim: 1; Não: 0; Abstenção: 0; e Quórum de Votação: 1. Obstrução: 0; e Total de Votantes: 1.,0.0
596285-97,https://dadosabertos.camara.leg.br/api/v2/votacoes/596285-97,2022-08-31,2022-08-31T13:32:19,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,,,,"Alteração do Regime de Tramitação desta proposição em virtude da alteração do regime do PL 2049/2022, por ter sido aprovado o REQ 1349/2022 que está apensado ao primeiro.",1.0
596285-96,https://dadosabertos.camara.leg.br/api/v2/votacoes/596285-96,2022-08-31,2022-08-31T13:32:19,SECAP(SGM),https://dadosabertos.camara.leg.br/api/v2/orgaos/100001,,,,"Realizar o encaminhamento do PL-6567/2013 à CMULHER (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0
596285-95,https://dadosabertos.camara.leg.br/api/v2/votacoes/596285-95,2022-08-31,2022-08-31T13:32:18,SECAP(SGM),https://dadosabertos.camara.leg.br/api/v2/orgaos/100001,,,,"Realizar o encaminhamento do PL-6567/2013 à CSSF (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0
596285-94,https://dadosabertos.camara.leg.br/api/v2/votacoes/596285-94,2022-08-31,2022-08-31T13:32:17,SECAP(SGM),https://dadosabertos.camara.leg.br/api/v2/orgaos/100001,,,,"Realizar o encaminhamento do PL-6567/2013 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0
2334529-8,https://dadosabertos.camara.leg.br/api/v2/votacoes/2334529-8,2022-08-31,2022-08-31T13:32:16,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66394,REQ 1349/2022,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2334529,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",1.0
2325768-25,https://dadosabertos.camara.leg.br/api/v2/votacoes/2325768-25,2022-08-31,2022-08-31T13:30:46,SECAP(SGM),https://dadosabertos.camara.leg.br/api/v2/orgaos/100001,,,,"Realizar o encaminhamento do PL-1471/2022 à CDEICS (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0
2325768-24,https://dadosabertos.camara.leg.br/api/v2/votacoes/2325768-24,2022-08-31,2022-08-31T13:30:46,SECAP(SGM),https://dadosabertos.camara.leg.br/api/v2/orgaos/100001,,,,"Realizar o encaminhamento do PL-1471/2022 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0
2229557-36,https://dadosabertos.camara.leg.br/api/v2/votacoes/2229557-36,2022-08-31,2022-08-31T13:30:00,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,,PL 6001/2019 (Nº Anterior: PLS 412/2018),https://dadosabertos.camara.leg.br/api/v2/proposicoes/2229557,"Alteração do Regime de Tramitação desta proposição em virtude da alteração do regime do PL 1435/2022, por ter sido aprovado o REQ 987/2022 que está apensado ao primeiro.",1.0
2229557-35,https://dadosabertos.camara.leg.br/api/v2/votacoes/2229557-35,2022-08-31,2022-08-31T13:30:00,SECAP(SGM),https://dadosabertos.camara.leg.br/api/v2/orgaos/100001,,PL 6001/2019 (Nº Anterior: PLS 412/2018),https://dadosabertos.camara.leg.br/api/v2/proposicoes/2229557,"Realizar o encaminhamento do PL-6001/2019 (Nº Anterior: PLS 412/2018) à CFT (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0
2229557-34,https://dadosabertos.camara.leg.br/api/v2/votacoes/2229557-34,2022-08-31,2022-08-31T13:29:59,SECAP(SGM),https://dadosabertos.camara.leg.br/api/v2/orgaos/100001,,PL 6001/2019 (Nº Anterior: PLS 412/2018),https://dadosabertos.camara.leg.br/api/v2/proposicoes/2229557,"Realizar o encaminhamento do PL-6001/2019 (Nº Anterior: PLS 412/2018) à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0
2326535-8,https://dadosabertos.camara.leg.br/api/v2/votacoes/2326535-8,2022-08-31,2022-08-31T13:29:59,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66394,REQ 987/2022,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2326535,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",1.0
2323617-58,https://dadosabertos.camara.leg.br/api/v2/votacoes/2323617-58,2022-08-31,2022-08-31T13:11:16,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66394,,,"Aprovada a Redação Final assinada pelo Relator, Dep. Danilo Forte (UNIÃO-CE).",1.0
2323617-56,https://dadosabertos.camara.leg.br/api/v2/votacoes/2323617-56,2022-08-31,2022-08-31T13:10:05,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66394,,,Rejeitada a Emenda de Plenário nº 1. Sim: 89; não: 211; total: 300.,0.0
2323617-54,https://dadosabertos.camara.leg.br/api/v2/votacoes/2323617-54,2022-08-31,2022-08-31T13:04:50,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66394,,,Suprimido o texto.,
2323617-49,https://dadosabertos.camara.leg.br/api/v2/votacoes/2323617-49,2022-08-31,2022-08-31T12:59:27,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66394,,,Mantido o texto. Sim: 229; não: 42; total: 271.,
2323617-48,https://dadosabertos.camara.leg.br/api/v2/votacoes/2323617-48,2022-08-31,2022-08-31T12:55:26,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66394,,,Rejeitadas as Emendas de Plenário.,0.0
2323617-46,https://dadosabertos.camara.leg.br/api/v2/votacoes/2323617-46,2022-08-31,2022-08-31T12:53:49,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66394,,,"Aprovada a Medida Provisória nº 1.118 de 2022, na forma do Projeto de Lei de Conversão, ressalvados os destaques.",1.0
2323617-43,https://dadosabertos.camara.leg.br/api/v2/votacoes/2323617-43,2022-08-31,2022-08-31T12:52:37,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66394,,,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",1.0
2323617-42,https://dadosabertos.camara.leg.br/api/v2/votacoes/2323617-42,2022-08-31,2022-08-31T12:52:28,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66394,,,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",1.0
2331063-37,https://dadosabertos.camara.leg.br/api/v2/votacoes/2331063-37,2022-08-31,2022-08-31T12:22:33,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66394,,,Aprovada a Redação Final assinada Dep. Erika Kokay (PT-DF).,1.0
2331063-34,https://dadosabertos.camara.leg.br/api/v2/votacoes/2331063-34,2022-08-31,2022-08-31T12:21:34,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66394,,,"Aprovado o Substitutivo ao Projeto de Resolução nº 27, de 2022, adotado pela Relatora da Mesa Diretora da Câmara dos Deputados.",1.0
2308845-85,https://dadosabertos.camara.leg.br/api/v2/votacoes/2308845-85,2022-08-31,2022-08-31T12:14:02,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66394,,,"Aprovada a Redação Final assinada pela Relatora, Dep. Carmen Zanotto (CIDADANIA-SC).",1.0
2308845-83,https://dadosabertos.camara.leg.br/api/v2/votacoes/2308845-83,2022-08-31,2022-08-31T12:12:42,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66394,,,"Aprovadas as Emendas do Senado Federal ao Projeto de Lei nº 4.171-A, de 2021.",1.0
2324900-59,https://dadosabertos.camara.leg.br/api/v2/votacoes/2324900-59,2022-08-31,2022-08-31T11:51:27,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66394,,,"Aprovada a Redação Final assinada pelo Relator, Dep. Ricardo Barros (PP-PR).",1.0
2324900-57,https://dadosabertos.camara.leg.br/api/v2/votacoes/2324900-57,2022-08-31,2022-08-31T11:50:51,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66394,,,Rejeitada a Emenda de Comissão nº 9.,0.0
2324900-55,https://dadosabertos.camara.leg.br/api/v2/votacoes/2324900-55,2022-08-31,2022-08-31T11:48:33,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66394,,,Mantido o texto. Sim: 204; não: 99; total: 303.,
2324900-52,https://dadosabertos.camara.leg.br/api/v2/votacoes/2324900-52,2022-08-31,2022-08-31T11:37:26,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66394,,,Mantido o texto. Sim: 190; não: 170; total: 360.,
2263549-85,https://dadosabertos.camara.leg.br/api/v2/votacoes/2263549-85,2022-08-31,2022-08-31T11:23:35,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,https://dadosabertos.camara.leg.br/api/v2/eventos/66358,,,"Aprovada a Redação Final, com emenda.",1.0
2324900-48,https://dadosabertos.camara.leg.br/api/v2/votacoes/2324900-48,2022-08-31,2022-08-31T11:16:54,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66394,,,Mantido o texto. Sim: 203; não: 98; total: 301.,
2333860-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2333860-2,2022-08-31,2022-08-31T11:12:42,CVT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2016,https://dadosabertos.camara.leg.br/api/v2/eventos/66375,REQ 46/2022 CVT,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2333860,Aprovado.,1.0
2324900-47,https://dadosabertos.camara.leg.br/api/v2/votacoes/2324900-47,2022-08-31,2022-08-31T11:07:53,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66394,,,Rejeitada a Emenda de Comissão nº 95. Sim: 98; não: 208; total: 306.,0.0
2324900-39,https://dadosabertos.camara.leg.br/api/v2/votacoes/2324900-39,2022-08-31,2022-08-31T10:59:02,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66394,,,"Aprovada a Medida Provisória nº 1.119 de 2022, na forma do Projeto de Lei de Conversão, ressalvados os destaques.",1.0
2324900-36,https://dadosabertos.camara.leg.br/api/v2/votacoes/2324900-36,2022-08-31,2022-08-31T10:57:15,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/66394,,,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",1.0
2329145-22,https://dadosabertos.camara.leg.br/api/v2/votacoes/2329145-22,2022-08-31,2022-08-31T10:50:36,CVT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2016,https://dadosabertos.camara.leg.br/api/v2/eventos/66375,,,Aprovado o Parecer.,1.0
2315095-26,https://dadosabertos.camara.leg.br/api/v2/votacoes/2315095-26,2022-08-31,2022-08-31T10:45:54,CVT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2016,https://dadosabertos.camara.leg.br/api/v2/eventos/66375,,,Aprovado o Parecer.,1.0
2281211-22,https://dadosabertos.camara.leg.br/api/v2/votacoes/2281211-22,2022-08-31,2022-08-31T10:42:22,CVT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2016,https://dadosabertos.camara.leg.br/api/v2/eventos/66375,,,Aprovado o Parecer.,1.0
2332933-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2332933-2,2022-08-31,2022-08-31T10:35:35,CVT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2016,https://dadosabertos.camara.leg.br/api/v2/eventos/66375,REQ 44/2022 CVT,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2332933,Aprovado. Subscrito pelo deputado Bosco Costa.,1.0
2331890-3,https://dadosabertos.camara.leg.br/api/v2/votacoes/2331890-3,2022-08-31,2022-08-31T10:29:39,CVT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2016,https://dadosabertos.camara.leg.br/api/v2/eventos/66375,,,Aprovado.,1.0
2331729-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2331729-2,2022-08-31,2022-08-31T10:29:25,CVT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2016,https://dadosabertos.camara.leg.br/api/v2/eventos/66375,REQ 40/2022 CVT,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2331729,Aprovado.,1.0
2334444-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2334444-2,2022-08-31,2022-08-31T10:24:56,CE,https://dadosabertos.camara.leg.br/api/v2/orgaos/2009,https://dadosabertos.camara.leg.br/api/v2/eventos/66283,REQ 88/2022 CE,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2334444,Aprovado.,1.0
2334283-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2334283-2,2022-08-31,2022-08-31T10:24:55,CE,https://dadosabertos.camara.leg.br/api/v2/orgaos/2009,https://dadosabertos.camara.leg.br/api/v2/eventos/66283,REQ 87/2022 CE,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2334283,Aprovado.,1.0
2333707-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2333707-2,2022-08-31,2022-08-31T10:24:55,CE,https://dadosabertos.camara.leg.br/api/v2/orgaos/2009,https://dadosabertos.camara.leg.br/api/v2/eventos/66283,REQ 86/2022 CE,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2333707,Aprovado.,1.0
2295246-23,https://dadosabertos.camara.leg.br/api/v2/votacoes/2295246-23,2022-08-31,2022-08-31T10:21:16,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,https://dadosabertos.camara.leg.br/api/v2/eventos/66381,,,Aprovado o Parecer.,1.0
364707-57,https://dadosabertos.camara.leg.br/api/v2/votacoes/364707-57,2022-08-31,2022-08-31T10:17:38,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,https://dadosabertos.camara.leg.br/api/v2/eventos/66358,,,Aprovado o Parecer.,1.0
2334378-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2334378-2,2022-08-31,2022-08-31T10:17:37,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,https://dadosabertos.camara.leg.br/api/v2/eventos/66381,REQ 50/2022 CMADS,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2334378,"Subscrito pelo Dep. José Mário Schreiner.
Aprovado.",1.0
2332953-3,https://dadosabertos.camara.leg.br/api/v2/votacoes/2332953-3,2022-08-31,2022-08-31T10:17:37,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,https://dadosabertos.camara.leg.br/api/v2/eventos/66381,REQ 49/2022 CMADS,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2332953,"Subscrito pelo Dep. José Mário Schreiner.
Aprovado.",1.0
2332309-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2332309-2,2022-08-31,2022-08-31T10:17:37,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,https://dadosabertos.camara.leg.br/api/v2/eventos/66381,REQ 48/2022 CMADS,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2332309,"Subscrito pelo Dep. José Mário Schreiner.
Aprovado.",1.0
2331454-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2331454-2,2022-08-31,2022-08-31T10:17:36,CMADS,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,https://dadosabertos.camara.leg.br/api/v2/eventos/66381,REQ 47/2022 CMADS,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2331454,"Subscrito pelo Dep. José Mario Schreiner.
Aprovado.",1.0
2284566-48,https://dadosabertos.camara.leg.br/api/v2/votacoes/2284566-48,2022-08-31,2022-08-31T10:11:30,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,https://dadosabertos.camara.leg.br/api/v2/eventos/66358,,,Aprovado o Parecer.,1.0
2295251-51,https://dadosabertos.camara.leg.br/api/v2/votacoes/2295251-51,2022-08-31,2022-08-31T10:05:11,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,https://dadosabertos.camara.leg.br/api/v2/eventos/66358,,,Aprovado o Parecer.,1.0
2287197-48,https://dadosabertos.camara.leg.br/api/v2/votacoes/2287197-48,2022-08-31,2022-08-31T09:58:37,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,https://dadosabertos.camara.leg.br/api/v2/eventos/66358,,,Aprovado o Parecer.,1.0
2265732-67,https://dadosabertos.camara.leg.br/api/v2/votacoes/2265732-67,2022-08-31,2022-08-31T09:57:43,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,https://dadosabertos.camara.leg.br/api/v2/eventos/66358,,,Aprovada a Redação Final.,1.0
2264369-57,https://dadosabertos.camara.leg.br/api/v2/votacoes/2264369-57,2022-08-31,2022-08-31T09:57:42,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,https://dadosabertos.camara.leg.br/api/v2/eventos/66358,,,Aprovada a Redação Final.,1.0
2263840-86,https://dadosabertos.camara.leg.br/api/v2/votacoes/2263840-86,2022-08-31,2022-08-31T09:57:42,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,https://dadosabertos.camara.leg.br/api/v2/eventos/66358,,,Aprovada a Redação Final.,1.0
2262115-55,https://dadosabertos.camara.leg.br/api/v2/votacoes/2262115-55,2022-08-31,2022-08-31T09:57:03,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,https://dadosabertos.camara.leg.br/api/v2/eventos/66358,,,Aprovada a Redação Final.,1.0
2237024-68,https://dadosabertos.camara.leg.br/api/v2/votacoes/2237024-68,2022-08-31,2022-08-31T09:57:03,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,https://dadosabertos.camara.leg.br/api/v2/eventos/66358,,,Aprovada a Redação Final.,1.0
